function	file	line	source
ps2vnc_config_presented_geometry_for_mode	working/b4a/ps2vnc_services_exports.h	20	int ps2vnc_config_presented_geometry_for_mode( const ps2vnc_video_mode_t *mode, const ps2vnc_display_config_t *config, unsigned int *out_x, unsigned int *out_y, unsigned int *out_w, unsigned int *out_h);
ps2vnc_display_commit_update_hires	working/b4a/ps2vnc_framebuffer_tail.inc	531	static int ps2vnc_display_commit_update_hires(
ps2vnc_display_commit_update_hires	working/b4a/ps2vnc_framebuffer_tail.inc	686	return ps2vnc_display_commit_update_hires(
ps2vnc_display_commit_update_standard	working/b4a/ps2vnc_framebuffer_tail.inc	633	static int ps2vnc_display_commit_update_standard(
ps2vnc_display_commit_update_standard	working/b4a/ps2vnc_framebuffer_tail.inc	692	return ps2vnc_display_commit_update_standard(
ps2vnc_display_create_standard	working/b4a/ps2vnc_calibration_tail.inc	1183	static GSGLOBAL *ps2vnc_display_create_standard(void)
ps2vnc_display_create_standard	working/b4a/ps2vnc_calibration_tail.inc	1254	display = ps2vnc_display_create_standard();
ps2vnc_display_direct_write_row	working/b4a/ps2vnc_framebuffer_core.inc	100	static unsigned short *ps2vnc_display_direct_write_row(
ps2vnc_display_direct_write_row	working/b4a/ps2vnc_framebuffer_core.inc	123	direct_row = ps2vnc_display_direct_write_row(
ps2vnc_display_direct_write_row	working/b4a/ps2vnc_framebuffer_core.inc	175	direct_row = ps2vnc_display_direct_write_row(
ps2vnc_display_direct_write_row	working/b4a/ps2vnc_framebuffer_core.inc	1113	static unsigned short *ps2vnc_display_direct_write_row(
ps2vnc_display_draw_desktop	working/b4a/ps2vnc_calibration_tail.inc	1567	int ps2vnc_display_draw_desktop(
ps2vnc_display_draw_desktop	working/b4a/ps2vnc_display_core.inc	333	if (ps2vnc_display_draw_desktop(
ps2vnc_display_draw_desktop	working/b4a/ps2vnc_display_tail.inc	937	if (ps2vnc_display_draw_desktop(
ps2vnc_display_draw_desktop	working/b4a/ps2vnc_services_exports.h	25	int ps2vnc_display_draw_desktop( GSGLOBAL *gsGlobal, GSTEXTURE *tex, u64 clear_color, u64 tex_color);
ps2vnc_display_logical_desktop_size	working/b4a/ps2vnc_display_core.inc	72	if (ps2vnc_display_logical_desktop_size(
ps2vnc_display_logical_desktop_size	working/b4a/ps2vnc_display_tail.inc	94	if (ps2vnc_display_logical_desktop_size(
ps2vnc_display_logical_desktop_size	working/b4a/ps2vnc_runtime_core.inc	166	int ps2vnc_display_logical_desktop_size(
ps2vnc_display_logical_desktop_size	working/b4a/ps2vnc_runtime_to_ui_display.h	472	extern int ps2vnc_display_logical_desktop_size (unsigned int output_width, unsigned int output_height, unsigned int *width, unsigned int *height);
ps2vnc_display_prepare_desktop_standard	working/b4a/ps2vnc_calibration_tail.inc	1502	static int ps2vnc_display_prepare_desktop_standard(
ps2vnc_display_prepare_desktop_standard	working/b4a/ps2vnc_calibration_tail.inc	1551	return ps2vnc_display_prepare_desktop_standard(
ps2vnc_display_profile_capture_active	working/b4a/ps2vnc_display_core.inc	614	if (ps2vnc_display_profile_capture_active(
ps2vnc_display_profile_capture_active	working/b4a/ps2vnc_display_tail.inc	616	if (ps2vnc_display_profile_capture_active(
ps2vnc_display_profile_capture_active	working/b4a/ps2vnc_management_tail.inc	63	int ps2vnc_display_profile_capture_active(
ps2vnc_display_profile_capture_active	working/b4a/ps2vnc_services_exports.h	33	int ps2vnc_display_profile_capture_active( ps2vnc_display_profile_t *profile);
ps2vnc_display_profile_resolve_candidate	working/b4a/ps2vnc_calibration_core.inc	1220	ps2vnc_display_profile_resolve_candidate(
ps2vnc_display_profile_resolve_candidate	working/b4a/ps2vnc_calibration_core.inc	1453	ps2vnc_display_profile_resolve_candidate(
ps2vnc_display_profile_resolve_candidate	working/b4a/ps2vnc_display_tail.inc	618	ps2vnc_display_profile_resolve_candidate(
ps2vnc_display_profile_resolve_candidate	working/b4a/ps2vnc_management_tail.inc	92	int ps2vnc_display_profile_resolve_candidate(
ps2vnc_display_profile_resolve_candidate	working/b4a/ps2vnc_services_exports.h	34	int ps2vnc_display_profile_resolve_candidate( const ps2vnc_video_mode_t *mode, unsigned int out_x, unsigned int out_y, unsigned int out_w, unsigned int out_h, ps2vnc_display_profile_t *profile);
ps2vnc_display_profile_valid	working/b4a/ps2vnc_calibration_core.inc	284	!ps2vnc_display_profile_valid(source))
ps2vnc_display_profile_valid	working/b4a/ps2vnc_calibration_core.inc	1152	if (!ps2vnc_display_profile_valid(target)) {
ps2vnc_display_profile_valid	working/b4a/ps2vnc_management_tail.inc	1	int ps2vnc_display_profile_valid(
ps2vnc_display_profile_valid	working/b4a/ps2vnc_management_tail.inc	82	return ps2vnc_display_profile_valid(profile) ? 0 : -1;
ps2vnc_display_profile_valid	working/b4a/ps2vnc_management_tail.inc	130	return ps2vnc_display_profile_valid(profile) ? 0 : -1;
ps2vnc_display_profile_valid	working/b4a/ps2vnc_management_tail.inc	257	if (!ps2vnc_display_profile_valid(previous) ||
ps2vnc_display_profile_valid	working/b4a/ps2vnc_management_tail.inc	258	!ps2vnc_display_profile_valid(candidate))
ps2vnc_display_profile_valid	working/b4a/ps2vnc_management_tail.inc	1568	return ps2vnc_display_profile_valid(profile) ? 0 : -1;
ps2vnc_display_profile_valid	working/b4a/ps2vnc_management_tail_to_services.h	11	extern int ps2vnc_display_profile_valid(
ps2vnc_display_publish_full_desktop_standard	working/b4a/ps2vnc_framebuffer_tail.inc	1010	static int ps2vnc_display_publish_full_desktop_standard(
ps2vnc_display_publish_full_desktop_standard	working/b4a/ps2vnc_framebuffer_tail.inc	1046	return ps2vnc_display_publish_full_desktop_standard(
ps2vnc_display_save_to_pi	working/b4a/ps2vnc_calibration_core.inc	796	int ps2vnc_display_save_to_pi(
ps2vnc_display_save_to_pi	working/b4a/ps2vnc_calibration_core_to_tail.h	22	extern int ps2vnc_display_save_to_pi (int width, int height, int offset_x, int offset_y);
ps2vnc_display_save_to_pi	working/b4a/ps2vnc_calibration_tail.inc	543	if (ps2vnc_display_save_to_pi(
ps2vnc_display_save_to_pi	working/b4a/ps2vnc_calibration_tail.inc	1102	if (ps2vnc_display_save_to_pi(
ps2vnc_display_transaction_begin_to_pi	working/b4a/ps2vnc_display_tail.inc	663	if (ps2vnc_display_transaction_begin_to_pi(
ps2vnc_display_transaction_begin_to_pi	working/b4a/ps2vnc_management_tail.inc	248	int ps2vnc_display_transaction_begin_to_pi(
ps2vnc_display_transaction_begin_to_pi	working/b4a/ps2vnc_services_exports.h	36	int ps2vnc_display_transaction_begin_to_pi( const ps2vnc_display_profile_t *previous, const ps2vnc_display_profile_t *candidate);
ps2vnc_display_transaction_select_startup_authority	working/b4a/ps2vnc_calibration_core.inc	161	static int ps2vnc_display_transaction_select_startup_authority(void)
ps2vnc_display_transaction_select_startup_authority	working/b4a/ps2vnc_calibration_core.inc	317	if (ps2vnc_display_transaction_select_startup_authority() < 0) {
ps2vnc_display_transaction_startup_preflight	working/b4a/ps2vnc_calibration_core.inc	294	int ps2vnc_display_transaction_startup_preflight(void)
ps2vnc_display_transaction_startup_preflight	working/b4a/ps2vnc_display_tail.inc	1603	if (ps2vnc_display_transaction_startup_preflight() < 0) {
ps2vnc_display_transaction_startup_preflight	working/b4a/ps2vnc_services_exports.h	40	int ps2vnc_display_transaction_startup_preflight(void);
ps2vnc_display_tx_parse_profile	working/b4a/ps2vnc_calibration_core.inc	55	if (ps2vnc_display_tx_parse_profile(
ps2vnc_display_tx_parse_profile	working/b4a/ps2vnc_calibration_core.inc	62	if (ps2vnc_display_tx_parse_profile(
ps2vnc_display_tx_parse_profile	working/b4a/ps2vnc_management_tail.inc	1511	int ps2vnc_display_tx_parse_profile(
ps2vnc_display_tx_parse_profile	working/b4a/ps2vnc_management_tail_to_services.h	26	extern int ps2vnc_display_tx_parse_profile(
ps2vnc_display_tx_profiles_equal	working/b4a/ps2vnc_calibration_core.inc	76	if (ps2vnc_display_tx_profiles_equal(
ps2vnc_display_tx_profiles_equal	working/b4a/ps2vnc_calibration_core.inc	209	!ps2vnc_display_tx_profiles_equal(
ps2vnc_display_tx_profiles_equal	working/b4a/ps2vnc_calibration_core.inc	212	!ps2vnc_display_tx_profiles_equal(
ps2vnc_display_tx_profiles_equal	working/b4a/ps2vnc_calibration_core.inc	234	!ps2vnc_display_tx_profiles_equal(
ps2vnc_display_tx_profiles_equal	working/b4a/ps2vnc_calibration_core.inc	251	!ps2vnc_display_tx_profiles_equal(
ps2vnc_display_tx_profiles_equal	working/b4a/ps2vnc_calibration_core.inc	267	!ps2vnc_display_tx_profiles_equal(
ps2vnc_display_tx_profiles_equal	working/b4a/ps2vnc_calibration_core.inc	1190	!ps2vnc_display_tx_profiles_equal(
ps2vnc_display_tx_profiles_equal	working/b4a/ps2vnc_calibration_core.inc	1197	!ps2vnc_display_tx_profiles_equal(
ps2vnc_display_tx_profiles_equal	working/b4a/ps2vnc_calibration_core.inc	1232	if (!ps2vnc_display_tx_profiles_equal(
ps2vnc_display_tx_profiles_equal	working/b4a/ps2vnc_display_core.inc	616	!ps2vnc_display_tx_profiles_equal(
ps2vnc_display_tx_profiles_equal	working/b4a/ps2vnc_management_tail.inc	1572	int ps2vnc_display_tx_profiles_equal(
ps2vnc_display_tx_profiles_equal	working/b4a/ps2vnc_services_exports.h	41	int ps2vnc_display_tx_profiles_equal( const ps2vnc_display_profile_t *a, const ps2vnc_display_profile_t *b);
ps2vnc_hires_requires_horizontal_mapping	working/b4a/ps2vnc_runtime_core.inc	68	static int ps2vnc_hires_requires_horizontal_mapping(void)
ps2vnc_hires_requires_horizontal_mapping	working/b4a/ps2vnc_runtime_core.inc	115	ps2vnc_hires_requires_horizontal_mapping() ||
ps2vnc_hires_requires_vertical_mapping	working/b4a/ps2vnc_framebuffer_core.inc	1084	if (ps2vnc_hires_requires_vertical_mapping())
ps2vnc_hires_requires_vertical_mapping	working/b4a/ps2vnc_runtime_core.inc	90	int ps2vnc_hires_requires_vertical_mapping(void)
ps2vnc_hires_requires_vertical_mapping	working/b4a/ps2vnc_runtime_core.inc	116	ps2vnc_hires_requires_vertical_mapping();
ps2vnc_hires_requires_vertical_mapping	working/b4a/ps2vnc_runtime_core.inc	139	if (ps2vnc_hires_requires_vertical_mapping())
ps2vnc_hires_requires_vertical_mapping	working/b4a/ps2vnc_runtime_to_framebuffer.h	124	extern int ps2vnc_hires_requires_vertical_mapping (void);
ps2vnc_hires_storage_height	working/b4a/ps2vnc_calibration_tail.inc	1442	ps2vnc_hires_storage_height() == 0)
ps2vnc_hires_storage_height	working/b4a/ps2vnc_calibration_tail.inc	1447	tex->Height = ps2vnc_hires_storage_height();
ps2vnc_hires_storage_height	working/b4a/ps2vnc_framebuffer_tail.inc	185	ps2vnc_hires_storage_height();
ps2vnc_hires_storage_height	working/b4a/ps2vnc_framebuffer_tail.inc	714	ps2vnc_hires_storage_height();
ps2vnc_hires_storage_height	working/b4a/ps2vnc_runtime_core.inc	134	unsigned int ps2vnc_hires_storage_height(void)
ps2vnc_hires_storage_height	working/b4a/ps2vnc_runtime_core.inc	150	ps2vnc_hires_storage_height() *
ps2vnc_hires_storage_height	working/b4a/ps2vnc_services_imports.h	73	unsigned int ps2vnc_hires_storage_height(void);
ps2vnc_reconfigure_current_desktop_hires	working/b4a/ps2vnc_calibration_tail.inc	878	static int ps2vnc_reconfigure_current_desktop_hires(
ps2vnc_reconfigure_current_desktop_hires	working/b4a/ps2vnc_calibration_tail.inc	1072	if (ps2vnc_reconfigure_current_desktop_hires(
ps2vnc_reconfigure_current_desktop_standard	working/b4a/ps2vnc_calibration_tail.inc	967	static int ps2vnc_reconfigure_current_desktop_standard(
ps2vnc_reconfigure_current_desktop_standard	working/b4a/ps2vnc_calibration_tail.inc	1084	if (ps2vnc_reconfigure_current_desktop_standard(
ps2vnc_remote_control_poll_idle	working/b4a/ps2vnc_display_core.inc	931	int ps2vnc_remote_control_poll_idle(void)
ps2vnc_remote_control_poll_idle	working/b4a/ps2vnc_display_core_to_tail.h	12	extern int ps2vnc_remote_control_poll_idle (void);
ps2vnc_remote_control_poll_idle	working/b4a/ps2vnc_display_tail.inc	202	(void)ps2vnc_remote_control_poll_idle();
ps2vnc_remote_control_poll_idle	working/b4a/ps2vnc_runtime_core.inc	1410	int ps2vnc_remote_control_poll_idle(void);
ps2vnc_remote_control_poll_idle	working/b4a/ps2vnc_runtime_core.inc	1610	ps2vnc_remote_control_poll_idle() > 0) {
ps2vnc_rollback_display_transaction	working/b4a/ps2vnc_display_core.inc	394	static int ps2vnc_rollback_display_transaction(
ps2vnc_rollback_display_transaction	working/b4a/ps2vnc_display_core.inc	1135	new_sock = ps2vnc_rollback_display_transaction(
ps2vnc_run_runtime_calibration	working/b4a/ps2vnc_calibration_tail.inc	1018	int ps2vnc_run_runtime_calibration(
ps2vnc_run_runtime_calibration	working/b4a/ps2vnc_display_tail.inc	395	if (ps2vnc_run_runtime_calibration(
ps2vnc_run_runtime_calibration	working/b4a/ps2vnc_services_exports.h	46	int ps2vnc_run_runtime_calibration( int sock, unsigned short *rfb_framebuffer, unsigned short *gs_framebuffer, GSGLOBAL *gsGlobal, GSTEXTURE *tex, u64 black);
ps2vnc_startup_apply_authoritative_profile	working/b4a/ps2vnc_calibration_core.inc	446	* ps2vnc_startup_apply_authoritative_profile() must have installed the
ps2vnc_startup_apply_authoritative_profile	working/b4a/ps2vnc_calibration_core.inc	1116	int ps2vnc_startup_apply_authoritative_profile(void)
ps2vnc_startup_apply_authoritative_profile	working/b4a/ps2vnc_display_tail.inc	1615	if (ps2vnc_startup_apply_authoritative_profile() < 0) {
ps2vnc_startup_apply_authoritative_profile	working/b4a/ps2vnc_services_exports.h	47	int ps2vnc_startup_apply_authoritative_profile(void);
ps2vnc_startup_connect_reconciled	working/b4a/ps2vnc_calibration_core.inc	403	int ps2vnc_startup_connect_reconciled(
ps2vnc_startup_connect_reconciled	working/b4a/ps2vnc_display_tail.inc	1637	sock = ps2vnc_startup_connect_reconciled(
ps2vnc_startup_connect_reconciled	working/b4a/ps2vnc_services_exports.h	48	int ps2vnc_startup_connect_reconciled( unsigned short *rfb_framebuffer, unsigned short *gs_framebuffer);
ps2vnc_switch_display_mode_core	working/b4a/ps2vnc_display_core.inc	1	static int ps2vnc_switch_display_mode_core(
ps2vnc_switch_display_mode_core	working/b4a/ps2vnc_display_core.inc	215	return ps2vnc_switch_display_mode_core(
ps2vnc_switch_display_mode_core	working/b4a/ps2vnc_display_core.inc	289	result = ps2vnc_switch_display_mode_core(
ps2vnc_system_overlay_allowed	working/b4a/ps2vnc_runtime_tail.inc	107	int ps2vnc_system_overlay_allowed(void)
ps2vnc_system_overlay_allowed	working/b4a/ps2vnc_runtime_tail.inc	158	if (!ps2vnc_system_overlay_allowed())
ps2vnc_system_overlay_allowed	working/b4a/ps2vnc_runtime_tail.inc	186	if (!ps2vnc_system_overlay_allowed())
ps2vnc_system_overlay_allowed	working/b4a/ps2vnc_runtime_to_ui_display.h	476	extern int ps2vnc_system_overlay_allowed (void);
ps2vnc_system_overlay_allowed	working/b4a/ps2vnc_ui_tail.inc	380	if (!ps2vnc_system_overlay_allowed()) {
ps2vnc_update_mapped_hires_dirty_buffer	working/b4a/ps2vnc_framebuffer_tail.inc	91	static int ps2vnc_update_mapped_hires_dirty_buffer(
ps2vnc_update_mapped_hires_dirty_buffer	working/b4a/ps2vnc_framebuffer_tail.inc	490	if (ps2vnc_update_mapped_hires_dirty_buffer(
ps2vnc_update_mapped_hires_dirty_buffer	working/b4a/ps2vnc_framebuffer_tail.inc	515	if (ps2vnc_update_mapped_hires_dirty_buffer(
publish_hires_background	working/b4a/ps2vnc_calibration_tail.inc	1472	if (publish_hires_background(gsGlobal, tex, gs_framebuffer) < 0) {
publish_hires_background	working/b4a/ps2vnc_framebuffer_core.inc	1244	int publish_hires_background(
publish_hires_background	working/b4a/ps2vnc_framebuffer_core.inc	1264	* Mapping arithmetic remains inside publish_hires_background(); this helper
publish_hires_background	working/b4a/ps2vnc_framebuffer_tail.inc	27	* publish_hires_background() owns the proven F7B conversion and writes
publish_hires_background	working/b4a/ps2vnc_framebuffer_tail.inc	34	if (publish_hires_background(
publish_hires_background	working/b4a/ps2vnc_framebuffer_tail.inc	705	int publish_hires_background(
publish_hires_background	working/b4a/ps2vnc_framebuffer_tail.inc	977	if (publish_hires_background(
publish_hires_background	working/b4a/ps2vnc_services_imports.h	77	int publish_hires_background( GSGLOBAL *gsGlobal, GSTEXTURE *bg_tex, const unsigned short *gs_framebuffer);
receive_framebuffer_update	working/b4a/ps2vnc_calibration_core.inc	547	receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_calibration_core.inc	607	receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_calibration_tail.inc	941	if (receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_display_core.inc	120	if (receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_display_tail.inc	142	if (receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_display_tail.inc	1258	changed_bytes = receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_framebuffer_core.inc	392	int receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_framebuffer_core.inc	999	if (receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_management_core.inc	169	receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_management_core.inc	321	receive_framebuffer_update(
